=== SEEDER RUN STARTED Sun Apr  5 12:24:07 EDT 2026 ===

=== PHASE 1: Cross-seed from pricing models ===
Started: Sun Apr  5 12:24:07 EDT 2026
Cities: 739 | Services: roofing, hvac, plumbing, electrical, solar | Max: all
  SEED Dothan, AL [hvac] = $8,100 (trust=90)
  SEED Lakewood, CO [solar] = $31,300 (trust=90)
  SEED Littleton, CO [roofing] = $13,600 (trust=90)
  SEED Littleton, CO [hvac] = $10,700 (trust=90)
  SEED Littleton, CO [plumbing] = $2,800 (trust=90)
  SEED Littleton, CO [electrical] = $2,800 (trust=90)
  SEED Littleton, CO [solar] = $31,300 (trust=90)
  SEED Longmont, CO [roofing] = $13,600 (trust=90)
  SEED Longmont, CO [hvac] = $10,700 (trust=90)
  SEED Longmont, CO [plumbing] = $2,800 (trust=90)
  SEED Longmont, CO [electrical] = $2,800 (trust=90)
  SEED Longmont, CO [solar] = $31,300 (trust=90)
  SEED Loveland, CO [roofing] = $12,700 (trust=90)
  SEED Loveland, CO [hvac] = $10,100 (trust=90)
  SEED Loveland, CO [plumbing] = $2,700 (trust=90)
  SEED Loveland, CO [electrical] = $2,600 (trust=90)
  SEED Loveland, CO [solar] = $29,900 (trust=90)
  SEED Northglenn, CO [roofing] = $13,600 (trust=90)
  SEED Northglenn, CO [hvac] = $10,700 (trust=90)
  SEED Northglenn, CO [plumbing] = $2,800 (trust=90)
  SEED Northglenn, CO [electrical] = $2,800 (trust=90)
  SEED Northglenn, CO [solar] = $31,300 (trust=90)
  SEED Parker, CO [roofing] = $13,600 (trust=90)
  SEED Parker, CO [hvac] = $10,700 (trust=90)
  SEED Parker, CO [plumbing] = $2,800 (trust=90)
  SEED Parker, CO [electrical] = $2,800 (trust=90)
  SEED Parker, CO [solar] = $31,300 (trust=90)
  SEED Pueblo, CO [roofing] = $11,900 (trust=90)
  SEED Pueblo, CO [hvac] = $9,500 (trust=90)
  SEED Pueblo, CO [plumbing] = $2,500 (trust=90)
  SEED Pueblo, CO [electrical] = $2,500 (trust=90)
  SEED Pueblo, CO [solar] = $27,800 (trust=90)
  SEED Thornton, CO [roofing] = $13,600 (trust=90)
  SEED Thornton, CO [hvac] = $10,700 (trust=90)
  SEED Thornton, CO [plumbing] = $2,800 (trust=90)
  SEED Thornton, CO [electrical] = $2,800 (trust=90)
  SEED Thornton, CO [solar] = $31,300 (trust=90)
  SEED Westminster, CO [roofing] = $13,600 (trust=90)
  SEED Westminster, CO [hvac] = $10,700 (trust=90)
  SEED Westminster, CO [plumbing] = $2,800 (trust=90)
  SEED Westminster, CO [electrical] = $2,800 (trust=90)
  SEED Westminster, CO [solar] = $31,300 (trust=90)
  SEED Bridgeport, CT [roofing] = $16,300 (trust=90)
  SEED Bridgeport, CT [hvac] = $11,400 (trust=90)
  SEED Bridgeport, CT [plumbing] = $2,900 (trust=90)
  SEED Bridgeport, CT [electrical] = $3,100 (trust=90)
  SEED Bridgeport, CT [solar] = $35,000 (trust=90)
  SEED Bristol, CT [roofing] = $14,400 (trust=90)
  SEED Bristol, CT [hvac] = $11,500 (trust=90)
  SEED Bristol, CT [plumbing] = $3,000 (trust=90)
  SEED Bristol, CT [electrical] = $3,000 (trust=90)
  SEED Bristol, CT [solar] = $33,700 (trust=90)
  SEED Danbury, CT [roofing] = $16,300 (trust=90)
  SEED Danbury, CT [hvac] = $11,400 (trust=90)
  SEED Danbury, CT [plumbing] = $2,900 (trust=90)
  SEED Danbury, CT [electrical] = $3,100 (trust=90)
  SEED Danbury, CT [solar] = $35,000 (trust=90)
  SEED Hartford, CT [electrical] = $3,000 (trust=90)
  SEED Meriden, CT [roofing] = $14,200 (trust=90)
  SEED Meriden, CT [hvac] = $11,000 (trust=90)
  SEED Meriden, CT [plumbing] = $3,000 (trust=90)
  SEED Meriden, CT [electrical] = $3,000 (trust=90)
  SEED Meriden, CT [solar] = $34,200 (trust=90)
  SEED Middletown, CT [roofing] = $14,700 (trust=90)
  SEED Middletown, CT [hvac] = $11,700 (trust=90)
  SEED Middletown, CT [plumbing] = $3,000 (trust=90)
  SEED Middletown, CT [electrical] = $3,100 (trust=90)
  SEED Middletown, CT [solar] = $34,200 (trust=90)
  SEED Milford, CT [roofing] = $14,200 (trust=90)
  SEED Milford, CT [hvac] = $11,000 (trust=90)
  SEED Milford, CT [plumbing] = $3,000 (trust=90)
  SEED Milford, CT [electrical] = $3,000 (trust=90)
  SEED Milford, CT [solar] = $34,200 (trust=90)
  SEED New Britain, CT [roofing] = $14,400 (trust=90)
  SEED New Britain, CT [hvac] = $11,500 (trust=90)
  SEED New Britain, CT [plumbing] = $3,000 (trust=90)
  SEED New Britain, CT [electrical] = $3,000 (trust=90)
  SEED New Britain, CT [solar] = $33,700 (trust=90)
  SEED New Haven, CT [roofing] = $14,200 (trust=90)
  SEED New Haven, CT [hvac] = $11,000 (trust=90)
  SEED New Haven, CT [plumbing] = $3,000 (trust=90)
  SEED New Haven, CT [electrical] = $3,000 (trust=90)
  SEED New Haven, CT [solar] = $34,200 (trust=90)
  SEED Norwalk, CT [roofing] = $16,300 (trust=90)
  SEED Norwalk, CT [hvac] = $11,400 (trust=90)
  SEED Norwalk, CT [plumbing] = $2,900 (trust=90)
  SEED Norwalk, CT [electrical] = $3,100 (trust=90)
  SEED Norwalk, CT [solar] = $35,000 (trust=90)
  SEED Norwich, CT [roofing] = $14,000 (trust=90)
  SEED Norwich, CT [hvac] = $11,500 (trust=90)
  SEED Norwich, CT [plumbing] = $2,800 (trust=90)
  SEED Norwich, CT [electrical] = $2,900 (trust=90)
  SEED Norwich, CT [solar] = $32,500 (trust=90)
  SEED Shelton, CT [roofing] = $13,400 (trust=90)
  SEED Shelton, CT [hvac] = $10,800 (trust=90)
  SEED Shelton, CT [plumbing] = $2,800 (trust=90)
  SEED Shelton, CT [electrical] = $2,900 (trust=90)
  SEED Shelton, CT [solar] = $32,900 (trust=90)
  SEED Stamford, CT [roofing] = $16,300 (trust=90)
  SEED Stamford, CT [hvac] = $11,400 (trust=90)
  SEED Stamford, CT [plumbing] = $2,900 (trust=90)
  SEED Stamford, CT [electrical] = $3,100 (trust=90)
  SEED Stamford, CT [solar] = $35,000 (trust=90)
  SEED Waterbury, CT [roofing] = $13,400 (trust=90)
  SEED Waterbury, CT [hvac] = $10,800 (trust=90)
  SEED Waterbury, CT [plumbing] = $2,800 (trust=90)
  SEED Waterbury, CT [electrical] = $2,900 (trust=90)
  SEED Waterbury, CT [solar] = $32,900 (trust=90)
  SEED West Haven, CT [roofing] = $14,700 (trust=90)
  SEED West Haven, CT [hvac] = $11,700 (trust=90)
  SEED West Haven, CT [plumbing] = $3,000 (trust=90)
  SEED West Haven, CT [electrical] = $3,100 (trust=90)
  SEED West Haven, CT [solar] = $34,200 (trust=90)
  SEED Dover, DE [roofing] = $13,100 (trust=90)
  SEED Dover, DE [hvac] = $9,300 (trust=90)
  SEED Dover, DE [plumbing] = $2,600 (trust=90)
  SEED Dover, DE [electrical] = $2,500 (trust=90)
  SEED Dover, DE [solar] = $29,000 (trust=90)
  SEED Wilmington, DE [roofing] = $14,300 (trust=90)
  SEED Wilmington, DE [hvac] = $11,100 (trust=90)
  SEED Wilmington, DE [plumbing] = $3,000 (trust=90)
  SEED Wilmington, DE [electrical] = $3,000 (trust=90)
  SEED Wilmington, DE [solar] = $33,400 (trust=90)
  SEED Boca Raton, FL [roofing] = $13,200 (trust=90)
  SEED Boca Raton, FL [hvac] = $10,200 (trust=90)
  SEED Boca Raton, FL [plumbing] = $2,700 (trust=90)
  SEED Boca Raton, FL [electrical] = $2,700 (trust=90)
  SEED Boca Raton, FL [solar] = $30,700 (trust=90)
  SEED Boynton Beach, FL [roofing] = $13,200 (trust=90)
  SEED Boynton Beach, FL [hvac] = $10,200 (trust=90)
  SEED Boynton Beach, FL [plumbing] = $2,700 (trust=90)
  SEED Boynton Beach, FL [electrical] = $2,700 (trust=90)
  SEED Boynton Beach, FL [solar] = $30,700 (trust=90)
  SEED Cape Coral, FL [roofing] = $12,000 (trust=90)
  SEED Cape Coral, FL [hvac] = $9,300 (trust=90)
  SEED Cape Coral, FL [plumbing] = $2,400 (trust=90)
  SEED Cape Coral, FL [electrical] = $2,400 (trust=90)
  SEED Cape Coral, FL [solar] = $27,600 (trust=90)
  SEED Clearwater, FL [roofing] = $12,200 (trust=90)
  SEED Clearwater, FL [hvac] = $9,200 (trust=90)
  SEED Clearwater, FL [plumbing] = $2,500 (trust=90)
  SEED Clearwater, FL [electrical] = $2,500 (trust=90)
  SEED Clearwater, FL [solar] = $28,200 (trust=90)
  SEED Coral Springs, FL [roofing] = $13,200 (trust=90)
  SEED Coral Springs, FL [hvac] = $10,200 (trust=90)
  SEED Coral Springs, FL [plumbing] = $2,700 (trust=90)
  SEED Coral Springs, FL [electrical] = $2,700 (trust=90)
  SEED Coral Springs, FL [solar] = $30,700 (trust=90)
  SEED Davie, FL [roofing] = $13,200 (trust=90)
  SEED Davie, FL [hvac] = $10,200 (trust=90)
  SEED Davie, FL [plumbing] = $2,700 (trust=90)
  SEED Davie, FL [electrical] = $2,700 (trust=90)
  SEED Davie, FL [solar] = $30,700 (trust=90)
  SEED Daytona Beach, FL [roofing] = $11,600 (trust=90)
  SEED Daytona Beach, FL [hvac] = $8,900 (trust=90)
  SEED Daytona Beach, FL [plumbing] = $2,300 (trust=90)
  SEED Daytona Beach, FL [electrical] = $2,400 (trust=90)
  SEED Daytona Beach, FL [solar] = $26,800 (trust=90)
  SEED Deerfield Beach, FL [roofing] = $13,200 (trust=90)
  SEED Deerfield Beach, FL [hvac] = $10,200 (trust=90)
  SEED Deerfield Beach, FL [plumbing] = $2,700 (trust=90)
  SEED Deerfield Beach, FL [electrical] = $2,700 (trust=90)
  SEED Deerfield Beach, FL [solar] = $30,700 (trust=90)
  SEED Delray Beach, FL [roofing] = $13,200 (trust=90)
  SEED Delray Beach, FL [hvac] = $10,200 (trust=90)
  SEED Delray Beach, FL [plumbing] = $2,700 (trust=90)
  SEED Delray Beach, FL [electrical] = $2,700 (trust=90)
  SEED Delray Beach, FL [solar] = $30,700 (trust=90)
  SEED Deltona, FL [roofing] = $11,600 (trust=90)
  SEED Deltona, FL [hvac] = $8,900 (trust=90)
  SEED Deltona, FL [plumbing] = $2,300 (trust=90)
  SEED Deltona, FL [electrical] = $2,400 (trust=90)
  SEED Deltona, FL [solar] = $26,800 (trust=90)
  SEED Fort Lauderdale, FL [roofing] = $13,200 (trust=90)
  SEED Fort Lauderdale, FL [hvac] = $10,200 (trust=90)
  SEED Fort Lauderdale, FL [plumbing] = $2,700 (trust=90)
  SEED Fort Lauderdale, FL [electrical] = $2,700 (trust=90)
  SEED Fort Lauderdale, FL [solar] = $30,700 (trust=90)
  SEED Fort Myers, FL [roofing] = $12,000 (trust=90)
  SEED Fort Myers, FL [hvac] = $9,300 (trust=90)
  SEED Fort Myers, FL [plumbing] = $2,400 (trust=90)
  SEED Fort Myers, FL [electrical] = $2,400 (trust=90)
  SEED Fort Myers, FL [solar] = $27,600 (trust=90)
  SEED Gainesville, FL [roofing] = $11,300 (trust=90)
  SEED Gainesville, FL [hvac] = $8,700 (trust=90)
  SEED Gainesville, FL [plumbing] = $2,400 (trust=90)
  SEED Gainesville, FL [electrical] = $2,300 (trust=90)
  SEED Gainesville, FL [solar] = $26,600 (trust=90)
  SEED Hialeah, FL [roofing] = $12,000 (trust=90)
  SEED Hialeah, FL [hvac] = $9,300 (trust=90)
  SEED Hialeah, FL [plumbing] = $2,400 (trust=90)
  SEED Hialeah, FL [electrical] = $2,400 (trust=90)
  SEED Hialeah, FL [solar] = $27,600 (trust=90)
  SEED Hollywood, FL [roofing] = $13,200 (trust=90)
  SEED Hollywood, FL [hvac] = $10,200 (trust=90)
  SEED Hollywood, FL [plumbing] = $2,700 (trust=90)
  SEED Hollywood, FL [electrical] = $2,700 (trust=90)
  SEED Hollywood, FL [solar] = $30,700 (trust=90)
  SEED Homestead, FL [roofing] = $13,200 (trust=90)
  SEED Homestead, FL [hvac] = $10,200 (trust=90)
  SEED Homestead, FL [plumbing] = $2,700 (trust=90)
  SEED Homestead, FL [electrical] = $2,700 (trust=90)
  SEED Homestead, FL [solar] = $30,700 (trust=90)
  SEED Jacksonville, FL [roofing] = $11,800 (trust=90)
  SEED Jacksonville, FL [electrical] = $2,500 (trust=90)
  SEED Jacksonville, FL [solar] = $28,100 (trust=90)
  SEED Kissimmee, FL [roofing] = $12,000 (trust=90)
  SEED Kissimmee, FL [hvac] = $9,200 (trust=90)
  SEED Kissimmee, FL [plumbing] = $2,500 (trust=90)
  SEED Kissimmee, FL [electrical] = $2,400 (trust=90)
  SEED Kissimmee, FL [solar] = $27,900 (trust=90)
  SEED Lakeland, FL [roofing] = $11,700 (trust=90)
  SEED Lakeland, FL [hvac] = $8,900 (trust=90)
  SEED Lakeland, FL [plumbing] = $2,300 (trust=90)
  SEED Lakeland, FL [electrical] = $2,300 (trust=90)
  SEED Lakeland, FL [solar] = $26,600 (trust=90)
  SEED Largo, FL [roofing] = $12,200 (trust=90)
  SEED Largo, FL [hvac] = $9,200 (trust=90)
  SEED Largo, FL [plumbing] = $2,500 (trust=90)
  SEED Largo, FL [electrical] = $2,500 (trust=90)
  SEED Largo, FL [solar] = $28,200 (trust=90)
  SEED Lauderhill, FL [roofing] = $13,200 (trust=90)
  SEED Lauderhill, FL [hvac] = $10,200 (trust=90)
  SEED Lauderhill, FL [plumbing] = $2,700 (trust=90)
  SEED Lauderhill, FL [electrical] = $2,700 (trust=90)
  SEED Lauderhill, FL [solar] = $30,700 (trust=90)
  SEED Melbourne, FL [roofing] = $11,900 (trust=90)
  SEED Melbourne, FL [hvac] = $9,200 (trust=90)
  SEED Melbourne, FL [plumbing] = $2,500 (trust=90)
  SEED Melbourne, FL [electrical] = $2,500 (trust=90)
  SEED Melbourne, FL [solar] = $28,300 (trust=90)
  SEED Miami, FL [hvac] = $10,200 (trust=90)
  SEED Miami, FL [plumbing] = $2,700 (trust=90)
  SEED Miami Beach, FL [roofing] = $12,000 (trust=90)
  SEED Miami Beach, FL [hvac] = $9,300 (trust=90)
  SEED Miami Beach, FL [plumbing] = $2,400 (trust=90)
  SEED Miami Beach, FL [electrical] = $2,400 (trust=90)
  SEED Miami Beach, FL [solar] = $27,600 (trust=90)
... 150/739 cities processed (688 seeded, 62 skipped)
  SEED Miami Gardens, FL [roofing] = $12,000 (trust=90)
  SEED Miami Gardens, FL [hvac] = $9,300 (trust=90)
  SEED Miami Gardens, FL [plumbing] = $2,400 (trust=90)
  SEED Miami Gardens, FL [electrical] = $2,400 (trust=90)
  SEED Miami Gardens, FL [solar] = $27,600 (trust=90)
  SEED Miramar, FL [roofing] = $13,200 (trust=90)
  SEED Miramar, FL [hvac] = $10,200 (trust=90)
  SEED Miramar, FL [plumbing] = $2,700 (trust=90)
  SEED Miramar, FL [electrical] = $2,700 (trust=90)
  SEED Miramar, FL [solar] = $30,700 (trust=90)
  SEED Orlando, FL [roofing] = $12,000 (trust=90)
  SEED Orlando, FL [electrical] = $2,400 (trust=90)
  SEED Orlando, FL [solar] = $27,900 (trust=90)
  SEED Palm Bay, FL [roofing] = $11,900 (trust=90)
  SEED Palm Bay, FL [hvac] = $9,200 (trust=90)
  SEED Palm Bay, FL [plumbing] = $2,500 (trust=90)
  SEED Palm Bay, FL [electrical] = $2,500 (trust=90)
  SEED Palm Bay, FL [solar] = $28,300 (trust=90)
  SEED Palm Coast, FL [roofing] = $12,000 (trust=90)
  SEED Palm Coast, FL [hvac] = $9,300 (trust=90)
  SEED Palm Coast, FL [plumbing] = $2,400 (trust=90)
  SEED Palm Coast, FL [electrical] = $2,400 (trust=90)
  SEED Palm Coast, FL [solar] = $27,600 (trust=90)
  SEED Pembroke Pines, FL [roofing] = $13,200 (trust=90)
  SEED Pembroke Pines, FL [hvac] = $10,200 (trust=90)
  SEED Pembroke Pines, FL [plumbing] = $2,700 (trust=90)
  SEED Pembroke Pines, FL [electrical] = $2,700 (trust=90)
  SEED Pembroke Pines, FL [solar] = $30,700 (trust=90)
  SEED Plantation, FL [roofing] = $13,200 (trust=90)
  SEED Plantation, FL [hvac] = $10,200 (trust=90)
  SEED Plantation, FL [plumbing] = $2,700 (trust=90)
  SEED Plantation, FL [electrical] = $2,700 (trust=90)
  SEED Plantation, FL [solar] = $30,700 (trust=90)
  SEED Pompano Beach, FL [roofing] = $13,200 (trust=90)
  SEED Pompano Beach, FL [hvac] = $10,200 (trust=90)
  SEED Pompano Beach, FL [plumbing] = $2,700 (trust=90)
  SEED Pompano Beach, FL [electrical] = $2,700 (trust=90)
  SEED Pompano Beach, FL [solar] = $30,700 (trust=90)
  SEED Port St. Lucie, FL [roofing] = $11,800 (trust=90)
  SEED Port St. Lucie, FL [hvac] = $9,100 (trust=90)
  SEED Port St. Lucie, FL [plumbing] = $2,400 (trust=90)
  SEED Port St. Lucie, FL [electrical] = $2,400 (trust=90)
  SEED Port St. Lucie, FL [solar] = $27,600 (trust=90)
  SEED St. Petersburg, FL [roofing] = $12,200 (trust=90)
  SEED St. Petersburg, FL [hvac] = $9,200 (trust=90)
  SEED St. Petersburg, FL [plumbing] = $2,500 (trust=90)
  SEED St. Petersburg, FL [electrical] = $2,500 (trust=90)
  SEED St. Petersburg, FL [solar] = $28,200 (trust=90)
  SEED Sunrise, FL [roofing] = $13,200 (trust=90)
  SEED Sunrise, FL [hvac] = $10,200 (trust=90)
  SEED Sunrise, FL [plumbing] = $2,700 (trust=90)
  SEED Sunrise, FL [electrical] = $2,700 (trust=90)
  SEED Sunrise, FL [solar] = $30,700 (trust=90)
  SEED Tallahassee, FL [roofing] = $11,200 (trust=90)
  SEED Tallahassee, FL [hvac] = $8,600 (trust=90)
  SEED Tallahassee, FL [plumbing] = $2,300 (trust=90)
  SEED Tallahassee, FL [electrical] = $2,300 (trust=90)
  SEED Tallahassee, FL [solar] = $25,700 (trust=90)
  SEED Tamarac, FL [roofing] = $13,200 (trust=90)
  SEED Tamarac, FL [hvac] = $10,200 (trust=90)
  SEED Tamarac, FL [plumbing] = $2,700 (trust=90)
  SEED Tamarac, FL [electrical] = $2,700 (trust=90)
  SEED Tamarac, FL [solar] = $30,700 (trust=90)
  SEED Tampa, FL [plumbing] = $2,500 (trust=90)
  SEED West Palm Beach, FL [roofing] = $13,200 (trust=90)
  SEED West Palm Beach, FL [electrical] = $2,700 (trust=90)
  SEED West Palm Beach, FL [solar] = $30,700 (trust=90)
  SEED Weston, FL [roofing] = $13,200 (trust=90)
  SEED Weston, FL [hvac] = $10,200 (trust=90)
  SEED Weston, FL [plumbing] = $2,700 (trust=90)
  SEED Weston, FL [electrical] = $2,700 (trust=90)
  SEED Weston, FL [solar] = $30,700 (trust=90)
  SEED Albany, GA [roofing] = $10,500 (trust=90)
  SEED Albany, GA [hvac] = $8,500 (trust=90)
  SEED Albany, GA [plumbing] = $2,200 (trust=90)
  SEED Albany, GA [electrical] = $2,400 (trust=90)
  SEED Albany, GA [solar] = $26,500 (trust=90)
  SEED Alpharetta, GA [roofing] = $12,200 (trust=90)
  SEED Alpharetta, GA [hvac] = $9,700 (trust=90)
  SEED Alpharetta, GA [plumbing] = $2,600 (trust=90)
  SEED Alpharetta, GA [electrical] = $2,600 (trust=90)
  SEED Alpharetta, GA [solar] = $29,000 (trust=90)
  SEED Athens-Clarke County, GA [roofing] = $11,500 (trust=90)
  SEED Athens-Clarke County, GA [hvac] = $9,100 (trust=90)
  SEED Athens-Clarke County, GA [plumbing] = $2,400 (trust=90)
  SEED Athens-Clarke County, GA [electrical] = $2,400 (trust=90)
  SEED Athens-Clarke County, GA [solar] = $27,400 (trust=90)
  SEED Atlanta, GA [solar] = $29,000 (trust=90)
  SEED Augusta-Richmond County, GA [roofing] = $11,500 (trust=90)
  SEED Augusta-Richmond County, GA [hvac] = $9,100 (trust=90)
  SEED Augusta-Richmond County, GA [plumbing] = $2,400 (trust=90)
  SEED Augusta-Richmond County, GA [electrical] = $2,400 (trust=90)
  SEED Augusta-Richmond County, GA [solar] = $27,400 (trust=90)
  SEED Brookhaven, GA [roofing] = $12,200 (trust=90)
  SEED Brookhaven, GA [hvac] = $9,700 (trust=90)
  SEED Brookhaven, GA [plumbing] = $2,600 (trust=90)
  SEED Brookhaven, GA [electrical] = $2,600 (trust=90)
  SEED Brookhaven, GA [solar] = $29,000 (trust=90)
  SEED Columbus, GA [roofing] = $11,000 (trust=90)
  SEED Columbus, GA [hvac] = $8,400 (trust=90)
  SEED Columbus, GA [plumbing] = $2,200 (trust=90)
  SEED Columbus, GA [electrical] = $2,200 (trust=90)
  SEED Columbus, GA [solar] = $25,300 (trust=90)
  SEED Dunwoody, GA [roofing] = $12,200 (trust=90)
  SEED Dunwoody, GA [hvac] = $9,700 (trust=90)
  SEED Dunwoody, GA [plumbing] = $2,600 (trust=90)
  SEED Dunwoody, GA [electrical] = $2,600 (trust=90)
  SEED Dunwoody, GA [solar] = $29,000 (trust=90)
  SEED Johns Creek, GA [roofing] = $12,200 (trust=90)
  SEED Johns Creek, GA [hvac] = $9,700 (trust=90)
  SEED Johns Creek, GA [plumbing] = $2,600 (trust=90)
  SEED Johns Creek, GA [electrical] = $2,600 (trust=90)
  SEED Johns Creek, GA [solar] = $29,000 (trust=90)
  SEED Macon, GA [roofing] = $10,800 (trust=90)
  SEED Macon, GA [hvac] = $8,600 (trust=90)
  SEED Macon, GA [plumbing] = $2,200 (trust=90)
  SEED Macon, GA [electrical] = $2,300 (trust=90)
  SEED Macon, GA [solar] = $25,500 (trust=90)
  SEED Marietta, GA [hvac] = $9,700 (trust=90)
  SEED Marietta, GA [plumbing] = $2,600 (trust=90)
  SEED Marietta, GA [electrical] = $2,600 (trust=90)
  SEED Marietta, GA [solar] = $29,000 (trust=90)
  SEED Peachtree Corners, GA [roofing] = $12,200 (trust=90)
  SEED Peachtree Corners, GA [hvac] = $9,700 (trust=90)
  SEED Peachtree Corners, GA [plumbing] = $2,600 (trust=90)
  SEED Peachtree Corners, GA [electrical] = $2,600 (trust=90)
  SEED Peachtree Corners, GA [solar] = $29,000 (trust=90)
  SEED Roswell, GA [roofing] = $12,200 (trust=90)
  SEED Roswell, GA [hvac] = $9,700 (trust=90)
  SEED Roswell, GA [plumbing] = $2,600 (trust=90)
  SEED Roswell, GA [electrical] = $2,600 (trust=90)
  SEED Roswell, GA [solar] = $29,000 (trust=90)
  SEED Sandy Springs, GA [roofing] = $12,200 (trust=90)
  SEED Sandy Springs, GA [hvac] = $9,700 (trust=90)
  SEED Sandy Springs, GA [plumbing] = $2,600 (trust=90)
  SEED Sandy Springs, GA [electrical] = $2,600 (trust=90)
  SEED Sandy Springs, GA [solar] = $29,000 (trust=90)
  SEED Savannah, GA [roofing] = $11,600 (trust=90)
  SEED Savannah, GA [hvac] = $9,100 (trust=90)
  SEED Savannah, GA [plumbing] = $2,500 (trust=90)
  SEED Savannah, GA [electrical] = $2,500 (trust=90)
  SEED Savannah, GA [solar] = $27,600 (trust=90)
  SEED Smyrna, GA [roofing] = $12,200 (trust=90)
  SEED Smyrna, GA [hvac] = $9,700 (trust=90)
  SEED Smyrna, GA [plumbing] = $2,600 (trust=90)
  SEED Smyrna, GA [electrical] = $2,600 (trust=90)
  SEED Smyrna, GA [solar] = $29,000 (trust=90)
  SEED Valdosta, GA [roofing] = $10,300 (trust=90)
  SEED Valdosta, GA [hvac] = $8,200 (trust=90)
  SEED Valdosta, GA [plumbing] = $2,200 (trust=90)
  SEED Valdosta, GA [electrical] = $2,200 (trust=90)
  SEED Valdosta, GA [solar] = $25,300 (trust=90)
  SEED Warner Robins, GA [roofing] = $11,900 (trust=90)
  SEED Warner Robins, GA [hvac] = $9,400 (trust=90)
  SEED Warner Robins, GA [plumbing] = $2,500 (trust=90)
  SEED Warner Robins, GA [electrical] = $2,500 (trust=90)
  SEED Warner Robins, GA [solar] = $28,000 (trust=90)
  SEED Honolulu, HI [roofing] = $15,500 (trust=90)
  SEED Honolulu, HI [hvac] = $11,900 (trust=90)
  SEED Honolulu, HI [plumbing] = $3,300 (trust=90)
  SEED Honolulu, HI [electrical] = $3,400 (trust=90)
  SEED Honolulu, HI [solar] = $38,700 (trust=90)
  SEED Boise City, ID [roofing] = $12,700 (trust=90)
  SEED Boise City, ID [hvac] = $10,100 (trust=90)
  SEED Boise City, ID [plumbing] = $2,600 (trust=90)
  SEED Boise City, ID [electrical] = $2,600 (trust=90)
  SEED Boise City, ID [solar] = $29,500 (trust=90)
  SEED Caldwell, ID [roofing] = $12,700 (trust=90)
  SEED Caldwell, ID [hvac] = $10,100 (trust=90)
  SEED Caldwell, ID [plumbing] = $2,600 (trust=90)
  SEED Caldwell, ID [electrical] = $2,600 (trust=90)
  SEED Caldwell, ID [solar] = $29,500 (trust=90)
  SEED Coeur d'Alene, ID [roofing] = $12,700 (trust=90)
  SEED Coeur d'Alene, ID [hvac] = $9,600 (trust=90)
  SEED Coeur d'Alene, ID [plumbing] = $2,600 (trust=90)
  SEED Coeur d'Alene, ID [electrical] = $2,600 (trust=90)
  SEED Coeur d'Alene, ID [solar] = $29,800 (trust=90)
  SEED Idaho Falls, ID [roofing] = $11,900 (trust=90)
  SEED Idaho Falls, ID [hvac] = $9,100 (trust=90)
  SEED Idaho Falls, ID [plumbing] = $2,500 (trust=90)
